JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
C423184,0402WGF3570TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 357Ω 0402  Chip Resistor - Surface Mount ROHS,424,0402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205312216_UNI-ROYAL-Uniroyal-Elec-0402WGF3570TCE_C423184.pdf
C22435967,CGA0402X7R272K500GT,Hre,50V 2.7nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,139805,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2405231404_HRE-CGA0402X7R272K500GT_C22435967.pdf
C82158,FT232HQ-REEL,Ftdi,QFN-48-EP(8x8) USB Converters ROHS,1272,QFN-48-EP(8x8),https://www.lcsc.com/datasheet/lcsc_datasheet_2409300133_FTDI-FT232HQ-REEL_C82158.pdf
C11702,0402WGF1001TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,15329251,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2206010216_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf
C1525,CL05B104KO5NNNC,Samsung electro-mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,12512624,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
C13564,NCP18XH103F03RB,Murata Electronics,10kΩ 310uA 100mW ±1% 3380K ±1% 0603 NTC Thermistors ROHS,57118,0603,https://www.lcsc.com/datasheet/lcsc_datasheet_1810311113_Murata-Electronics-NCP18XH103F03RB_C13564.pdf
C162542,LQG15HS3N3B02D,Murata Electronics,800mA 3.3nH 125mΩ 0402 Inductors (SMD) ROHS,22225,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQG15HS3N3B02D_C162542.pdf
C25091,0402WGF2200TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 220Ω 0402 Chip Resistor - Surface Mount ROHS,1483972,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF2200TCE_C25091.pdf
C17168,0402WGF0000TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±800ppm/℃ ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS,7577882,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2206010216_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf
C206499,ADC122S021CIMM/NOPB,Texas Instruments,12 Bits 200kHz VSSOP-8-0.65mm Analog to Digital Converters (ADC) ROHS,385,VSSOP-8-0.65mm,https://www.lcsc.com/datasheet/lcsc_datasheet_1806121318_Texas-Instruments-ADC122S021CIMM-NOPB_C206499.pdf
C25783,0402WGF3902TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 39kΩ 0402 Chip Resistor - Surface Mount ROHS,198842,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF3902TCE_C25783.pdf
C88880,GJM1555C1H1R3WB01D,Murata Electronics,50V 1.3pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,13082,0402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-GJM1555C1H1R3WB01D_C88880.pdf
C116647,SKQGADE010,Alpsalpine,5.2mm 1.5mm Round Button 50mA Standing paste 5.2mm SPST 12V SMD Tactile Switches ROHS,23600,SMD,https://www.lcsc.com/datasheet/lcsc_datasheet_1809200033_ALPSALPINE-SKQGADE010_C116647.pdf
