Comment,topDesignator,bottomDesignator,Footprint,JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
0.1uF,"C50,C107,C108,C109,C110,C111,C112,C113,C47,C49,C101,C102,C58,C59,C60,C73,C74,C78,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C44,C55,C56,C114,C115,C116,C117,C119,C121,C122,C123,C124,C125,C53,C54,C75,C129,C130,C131,C132,C133,C134,C135,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C154,C51,C77,C3,C4,C7,C9,C17,C19,C27,C29,C37,C39","C12,C20,C23,C31,C33,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71",RESC0402_N,C1525,CL05B104KO5NNNC,Samsung electro-mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,12512624,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
10uF,"C6,C8,C10,C13,C16,C18,C21,C24,C26,C28,C34,C36,C38,C40,C41,C42,C43,C46,C48,C52,C76,C118,C120,C126,C170,C173,C174,C175,C176,C242,C243,C244,C246,C248,C251,C253,C255,C257,C287,C288,C289,C319,C320,C321,C322",,RESC0805_N,C15850,CL21A106KAYNNNE,Samsung electro-mechanics,25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,7845551,805,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.pdf
1uF,"C72,C82,C261,C265,C269,C273,C277,C281,C285","C11,C14,C22,C30,C32",RESC0402_N,C52923,CL05A105KA5NQNC,Samsung electro-mechanics,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4632086,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf
22uF,"C81,C166,C290,C291,C292,C293,C294,C295,C296,C297,C298,C299,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317",,RESC0805_N,C45783,CL21A226MAQNNNE,Samsung electro-mechanics,25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,972962,805,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf
1000uF,"C83,C99,C100,C165,C167,C168,C171,C172",,EEE0JA152UAP,C401766,EEEFT1E102UP,Panasonic,"1000uF 25V 1.19A@100kHz 60mΩ@100kHz ±20% SMD,D10xL10.2mm Aluminum Electrolytic Capacitors - SMD ROHS",15217,"SMD,D10xL10.2mm",https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1912111437_PANASONIC-EEEFT1E102UP_C401766.pdf
B340A,D10,,SMA-DIODE,C64982,B340A,mdd(microdiode semiconductor),40V Independent Type 550mV@3A 3A SMA(DO-214AC) Schottky Diodes ROHS,52411,SMA(DO-214AC),https://www.lcsc.com/datasheet/lcsc_datasheet_2407101107_MDD-Microdiode-Semiconductor-B340A_C64982.pdf
50mΩ 220Ω@100MHz 0603,FB2,,603,C14709,BLM18PG121SN1D,Murata Electronics,50mΩ ±25% 120Ω@100MHz 0603 Ferrite Beads ROHS,1044223,603,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-BLM18PG121SN1D_C14709.pdf
OPA859IDSGR,"FL1,FL2,FL3,FL4",,SON50P200X200X80-9N,C2058582,OPA859IDSGR,Texas Instruments,WSON-8-EP(2x2) Operational Amplifier ROHS,4398,WSON-8-EP(2x2),https://www.lcsc.com/datasheet/lcsc_datasheet_2302221330_Texas-Instruments-OPA859IDSGR_C2058582.pdf
TPS72325DBVR,"IC10,IC25",,SOT95P280X145-5N,C69932,TPS72325DBVR,Texas Instruments,"200mA 65dB Fixed 2.5V Negative electrode 10V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",3867,SOT-23-5,https://www.lcsc.com/datasheet/lcsc_datasheet_1809251717_Texas-Instruments-TPS72325DBVR_C69932.pdf
LMH5401IRMST,"IC13,IC21",,LMH5401IRMSR,C2057542,LMH5401IRMST,Texas Instruments,6.2GHz Single Channel 8GHz QFN-14(2.5x2.5) Differential Amplifiers ROHS,23,QFN-14(2.5x2.5),https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2303012230_Texas-Instruments-LMH5401IRMST_C2057542.pdf
